"","ST","NP","BDSP","BLD","RMSP","TEN","FINCP","FPARC","HHL","NOC","MV","VEH","YBL"
"1747","09","02","02","02","08","2","000038900","4","1","00","4","1","04"
"1748","09","03","07","02","13","1","000087000","4","1","00","1","2","06"
"1749","09","05","05","02","10","1","000047000","2","1","03","5","4","06"
"1750","09","02","03","02","06","1","000056000","4","1","00","5","2","01"
"1751","09","02","03","02","07","1","000085000","4","1","00","5","2","04"
"1752","09","02","02","03","03","3","000100000","4","1","00","1","2","06"
"1753","09","04","04","02","08","1","000108000","3","1","03","4","0","06"
"1754","09","03","04","02","08","1","000108000","1","1","01","2","2","03"
"1755","09","01","","","","","","","","","","",""
"1756","09","02","05","02","08","1","000059000","4","1","00","6","2","05"
"1757","09","02","03","03","06","1","000129510","4","1","00","4","2","06"
"1758","09","04","04","02","09","1","000128000","2","1","02","4","2","08"
"1759","09","02","02","02","08","2","000099000","4","1","00","5","2","01"
"1760","09","01","","","","","","","","","","",""
"1761","09","01","","","","","","","","","","",""
"1762","09","03","03","02","07","1","000204000","4","1","00","6","3","01"
"1763","09","01","","","","","","","","","","",""
"1764","09","01","","","","","","","","","","",""
"1765","09","01","","","","","","","","","","",""
"1766","09","03","02","04","03","3","000029000","1","3","01","1","1","01"
"1767","09","02","03","02","06","2","000038700","4","1","00","7","2","04"
"1768","09","05","03","04","05","1","000059000","3","2","03","3","1","02"
"1769","09","01","","","","","","","","","","",""
"1770","09","05","04","02","10","3","000146000","3","1","03","3","2","10"
"1771","09","01","01","09","03","3","","","2","00","1","0","03"
"1772","09","01","02","04","06","3","","","1","00","4","1","01"
"1773","09","02","03","06","05","2","000103400","4","1","00","3","1","05"
"1774","09","02","03","02","09","1","000148780","4","3","00","2","2","04"
"1775","09","01","02","05","05","1","","","2","00","4","1","01"
"1776","09","01","02","02","04","2","","","1","00","5","1","06"
"1777","09","00","03","05","06","","","","","","","","01"
"1778","09","03","03","02","08","1","000092210","2","1","02","5","1","02"
"1779","09","04","03","02","06","2","000039100","3","3","00","6","1","04"
"1780","09","06","03","04","06","3","000045200","2","2","02","2","2","02"
"1781","09","01","","","","","","","","","","",""
"1782","09","02","08","02","11","2","000049110","4","1","00","7","1","03"
"1783","09","05","03","02","07","1","000095600","2","1","01","5","3","07"
"1784","09","05","04","02","08","1","000136000","2","2","02","3","3","13"
"1785","09","04","03","02","07","1","000104700","2","1","02","5","2","03"
"1786","09","05","04","02","09","1","000146040","3","1","03","3","2","05"
"1787","09","02","04","02","08","1","000104700","4","1","00","7","2","05"
"1788","09","05","03","02","06","1","000082000","3","1","03","3","2","02"
"1789","09","02","03","02","07","1","000064000","4","3","00","7","2","03"
"1790","09","04","04","02","08","1","000090600","4","1","00","5","4","03"
"1791","09","02","03","02","08","2","","","1","00","6","2","04"
"1792","09","01","02","05","04","4","","","1","00","6","1","02"
"1793","09","00","03","02","06","","","","","","","","05"
"1794","09","02","04","02","06","1","000058200","4","2","00","4","1","01"
"1795","09","02","04","02","06","1","000054400","4","1","00","7","2","01"
"1796","09","04","02","05","04","3","000019400","3","2","02","1","2","04"
"1797","09","01","02","04","04","3","","","1","00","3","1","05"
"1798","09","03","03","06","05","3","000039300","4","1","00","5","3","07"
"1799","09","01","04","02","09","2","","","1","00","7","1","04"
"1800","09","02","01","04","03","3","000010000","4","1","00","4","0","05"
"1801","09","01","","","","","","","","","","",""
"1802","09","01","02","03","06","1","","","1","00","5","1","08"
"1803","09","02","04","02","07","1","000192000","4","1","00","6","2","06"
"1804","09","05","03","02","06","1","000036000","2","1","01","4","2","08"
"1805","09","02","03","02","07","1","000140000","4","1","00","5","2","07"
"1806","09","04","02","03","05","3","000015000","1","2","01","5","1","01"
"1807","09","01","03","02","07","2","","","1","00","6","1","05"
"1808","09","04","03","02","06","1","000053900","4","1","00","6","4","06"
"1809","09","02","03","02","07","1","000089000","4","1","00","5","1","01"
"1810","09","01","","","","","","","","","","",""
"1811","09","03","03","02","07","1","000087300","4","1","00","6","3","04"
"1812","09","04","03","02","06","1","000162500","4","1","00","5","2","02"
"1813","09","04","03","02","07","3","000075000","2","1","02","3","3","02"
"1814","09","02","04","02","08","2","000052500","4","1","00","7","4","01"
"1815","09","02","03","02","06","1","000053500","4","1","00","2","1","05"
"1816","09","02","01","09","03","3","000100000","4","3","00","1","1","04"
"1817","09","02","04","02","09","1","000135000","4","1","00","4","6","08"
"1818","09","01","03","02","05","4","","","1","00","5","1","04"
"1819","09","01","","","","","","","","","","",""
"1820","09","01","","","","","","","","","","",""
"1821","09","02","02","02","04","1","000111600","4","1","00","4","2","03"
"1822","09","06","03","06","06","3","000010000","3","2","04","3","0","03"
"1823","09","02","04","02","10","1","000084720","4","1","00","5","2","03"
"1824","09","04","02","09","04","3","000020000","1","2","02","3","2","05"
"1825","09","02","04","02","07","2","000090000","4","1","00","7","2","03"
"1826","09","02","03","02","05","2","000059500","4","1","00","5","3","03"
"1827","09","02","03","02","10","2","000076000","4","1","00","3","3","01"
"1828","09","02","03","02","07","2","000115500","4","1","00","7","2","03"
"1829","09","01","","","","","","","","","","",""
"1830","09","04","03","02","08","1","000118400","4","1","00","5","4","05"
"1831","09","02","01","05","05","3","000103400","4","1","00","4","2","01"
"1832","09","02","02","02","04","2","000025300","4","1","00","7","2","03"
"1833","09","02","04","02","08","2","000067700","4","1","00","7","2","04"
"1834","09","02","03","02","06","3","000142100","4","1","00","1","2","07"
"1835","09","03","03","02","06","2","000082900","4","3","00","7","1","05"
"1836","09","02","03","02","06","2","000057500","4","1","00","5","3","04"
"1837","09","01","02","02","04","2","","","1","00","7","1","03"
"1838","09","02","03","02","07","1","000095360","4","1","00","6","2","01"
"1839","09","03","02","04","06","3","000030000","2","2","02","3","1","04"
"1840","09","02","02","05","04","3","000043900","4","4","00","3","3","05"
"1841","09","02","03","02","08","2","000034200","4","1","00","6","4","06"
"1842","09","03","03","02","08","2","000173200","2","1","01","6","2","03"
"1843","09","03","05","02","10","1","000124200","4","1","00","4","3","03"
"1844","09","02","03","02","08","1","000045000","4","3","00","7","1","05"
"1845","09","00","03","02","04","","","","","","","","03"
"1846","09","02","03","02","04","1","000111400","4","3","00","3","3","15"
"1847","09","02","05","02","11","2","000127000","4","1","00","7","3","01"
"1848","09","01","","","","","","","","","","",""
"1849","09","02","02","03","05","4","000026400","4","3","00","7","2","04"
"1850","09","00","03","02","08","","","","","","","","06"
"1851","09","01","02","07","08","1","","","3","00","1","1","05"
"1852","09","02","02","02","05","2","000020000","2","1","00","7","1","05"
"1853","10","03","03","02","05","3","000015000","2","1","02","3","0","05"
"1854","10","03","03","03","07","3","000007000","3","1","02","2","2","11"
"1855","10","04","03","02","07","1","000050000","2","1","02","4","2","05"
"1856","10","01","","","","","","","","","","",""
"1857","10","03","04","02","08","1","000088200","2","1","02","3","1","04"
"1858","10","02","04","02","09","2","000084000","4","1","00","5","2","07"
"1859","10","02","02","01","07","2","000070900","4","1","00","6","2","06"
"1860","10","06","03","03","06","1","000082000","1","1","01","3","2","02"
"1861","10","02","02","02","05","1","000055000","4","1","00","5","2","07"
"1862","10","02","03","01","05","1","000100000","4","1","00","4","1","05"
"1863","10","06","03","02","06","1","000084600","2","2","00","4","2","08"
"1864","10","00","03","02","07","","","","","","","","05"
"1865","10","00","04","02","07","","","","","","","","07"
"1866","10","01","03","02","05","1","","","1","00","5","1","05"
"1867","10","02","03","03","05","2","000035000","4","1","00","5","1","08"
"1868","10","03","03","02","07","3","000026000","2","1","02","1","1","06"
"1869","10","01","03","02","06","2","","","1","00","4","1","06"
"1870","10","02","02","01","04","1","000043700","4","1","00","7","2","05"
"1871","10","02","04","02","08","2","000013050","4","1","00","4","2","07"
"1872","10","01","03","02","07","1","","","1","00","5","2","04"
"1873","10","02","04","02","07","1","000205000","4","1","00","6","2","07"
"1874","10","01","","","","","","","","","","",""
"1875","10","04","02","03","05","3","000053170","1","1","01","3","1","01"
"1876","10","01","01","01","04","2","","","1","00","6","2","06"
"1877","10","02","03","02","07","2","000019300","4","1","00","6","1","06"
"1878","11","01","01","03","02","1","","","1","00","5","0","07"
"1879","11","03","02","03","07","2","000045300","4","1","00","7","0","02"
"1880","11","01","","","","","","","","","","",""
"1881","11","01","01","09","03","1","","","1","00","3","1","10"
"1882","11","01","01","05","04","4","","","2","00","4","1","01"
"1883","11","01","04","03","07","1","","","1","00","5","1","01"
"1884","11","00","02","09","04","","","","","","","","05"
"1885","11","01","02","02","07","1","","","1","00","6","1","01"
"1886","11","01","01","06","04","3","","","1","00","3","0","03"
"1887","11","01","01","09","02","3","","","1","00","3","1","08"
"1888","11","01","","","","","","","","","","",""
"1889","11","01","03","03","08","1","","","1","00","7","1","01"
"1890","11","04","05","02","09","1","000297000","2","3","02","3","2","01"
"1891","11","02","01","08","03","3","","","2","00","3","0","03"
"1892","11","01","03","03","05","4","","","1","00","5","0","02"
"1893","11","01","","","","","","","","","","",""
"1894","11","02","04","03","12","1","000169000","4","1","00","2","1","01"
"1895","11","01","01","09","03","3","","","1","00","2","0","03"
"1896","11","01","01","05","03","3","","","1","00","4","1","03"
"1897","11","01","04","03","10","2","","","1","00","1","1","03"
"1898","11","04","01","09","04","3","000055000","1","1","02","2","0","01"
"1899","11","01","","","","","","","","","","",""
"1900","11","02","02","03","04","3","000061400","4","1","00","3","0","01"
"1901","11","02","03","03","05","3","000173000","4","1","00","2","1","01"
"1902","12","02","03","06","05","1","000103600","4","1","00","3","2","06"
"1903","12","02","03","02","07","2","","","3","00","5","1","05"
"1904","12","00","03","03","06","","","","","","","","06"
"1905","12","02","03","02","05","1","000060000","4","1","00","5","2","07"
"1906","12","01","03","02","08","2","","","1","00","3","1","07"
"1907","12","00","02","08","05","","","","","","","","05"
"1908","12","01","","","","","","","","","","",""
"1909","12","01","02","07","04","2","","","1","00","3","1","06"
"1910","12","00","02","02","03","","","","","","","","07"
"1911","12","02","02","06","04","2","000045200","4","3","00","4","2","06"
"1912","12","02","02","02","05","2","000026300","4","1","00","5","1","07"
"1913","12","01","02","02","04","1","","","1","00","4","1","03"
"1914","12","02","03","02","06","1","000110000","4","1","00","4","2","03"
"1915","12","04","03","02","07","1","000130000","2","1","02","5","2","03"
"1916","12","00","03","09","06","","","","","","","","01"
"1917","12","02","04","02","08","1","000242000","4","1","00","5","4","03"
"1918","12","01","03","02","05","2","","","1","00","7","1","04"
"1919","12","02","03","02","05","1","000007200","4","1","00","5","1","07"
"1920","12","04","04","02","06","1","000017000","2","2","02","4","1","01"
"1921","12","01","02","09","03","3","","","1","00","3","2","08"
"1922","12","04","04","02","07","1","000083000","3","1","02","3","2","06"
"1923","12","02","03","02","06","1","000067100","4","1","00","4","2","08"
"1924","12","01","","","","","","","","","","",""
"1925","12","00","00","08","01","","","","","","","","08"
"1926","12","05","04","02","07","1","000060000","2","2","03","4","1","06"
"1927","12","01","","","","","","","","","","",""
"1928","12","01","01","02","03","3","","","2","00","1","1","03"
"1929","12","02","03","02","06","1","000061470","4","1","00","5","2","04"
"1930","12","03","04","02","07","1","000149700","4","1","00","4","3","08"
"1931","12","02","02","02","07","2","000010800","4","1","00","7","1","02"
"1932","12","04","03","03","06","2","000031000","2","4","02","4","2","07"
"1933","12","01","04","02","09","2","","","1","00","4","1","06"
"1934","12","02","04","04","08","1","000009000","4","2","00","5","0","06"
"1935","12","00","02","07","04","","","","","","","","05"
"1936","12","01","","","","","","","","","","",""
"1937","12","03","03","02","06","1","000042000","1","1","01","4","2","08"
"1938","12","03","03","05","05","1","000079300","4","1","00","4","3","08"
"1939","12","05","03","02","09","1","000132000","2","2","03","4","2","05"
"1940","12","04","03","02","05","1","000158400","1","2","01","3","3","08"
"1941","12","01","02","09","05","1","","","2","00","4","4","05"
"1942","12","02","02","03","06","1","000029800","4","1","00","4","1","06"
"1943","12","05","06","02","10","1","000095400","2","1","02","4","3","08"
"1944","12","01","","","","","","","","","","",""
"1945","12","02","02","03","05","1","","","1","00","4","2","07"
"1946","12","00","03","08","07","","","","","","","","05"
"1947","12","02","03","01","05","3","000012000","2","1","01","1","2","03"
"1948","12","04","04","02","07","1","000165000","2","1","02","4","2","05"
"1949","12","02","01","02","03","1","000015000","4","2","00","4","1","03"
"1950","12","03","03","02","04","1","000024900","4","1","00","3","4","07"
"1951","12","02","03","02","07","1","000077500","4","1","00","3","2","10"
"1952","12","01","03","02","08","1","","","1","00","4","1","07"
"1953","12","00","01","08","03","","","","","","","","05"
"1954","12","00","03","02","05","","","","","","","","07"
"1955","12","01","01","09","03","3","","","1","00","3","1","04"
"1956","12","01","02","01","03","1","","","1","00","5","1","06"
"1957","12","01","","","","","","","","","","",""
"1958","12","02","03","02","06","1","000028800","4","1","00","4","2","08"
"1959","12","01","01","07","03","3","","","1","00","4","1","06"
"1960","12","03","03","02","06","1","000042200","4","3","00","6","2","04"
"1961","12","00","06","02","06","","","","","","","","08"
"1962","12","02","03","01","08","1","000047000","4","1","00","3","2","05"
"1963","12","03","03","03","06","1","000067000","1","2","01","4","2","05"
"1964","12","01","02","07","05","2","","","1","00","4","1","07"
"1965","12","04","02","02","06","1","000102400","4","1","00","5","2","06"
"1966","12","03","03","02","10","1","000061000","4","1","00","5","3","07"
"1967","12","02","03","06","06","2","000029900","4","1","00","5","1","07"
"1968","12","01","","","","","","","","","","",""
"1969","12","01","02","03","04","1","","","1","00","3","2","06"
"1970","12","01","03","02","05","1","","","1","00","4","1","01"
"1971","12","01","02","02","05","1","","","1","00","1","1","05"
"1972","12","02","01","08","03","3","000036000","4","1","00","1","1","06"
"1973","12","00","03","02","04","","","","","","","","08"
"1974","12","01","01","09","02","3","","","1","00","2","0","06"
"1975","12","00","03","02","07","","","","","","","","04"
"1976","12","05","04","02","09","1","000380000","2","1","03","5","2","03"
"1977","12","01","00","09","01","3","","","2","00","1","1","12"
"1978","12","01","01","02","03","2","","","3","00","1","1","04"
"1979","12","00","02","08","03","","","","","","","","07"
"1980","12","02","06","02","06","2","000052000","4","2","00","5","3","03"
"1981","12","03","03","02","05","1","000111300","4","1","00","5","3","07"
"1982","12","02","03","02","06","1","000281700","4","1","00","3","1","07"
"1983","12","03","04","02","07","1","000076600","2","1","01","4","2","07"
"1984","12","02","02","03","10","1","000069200","4","1","00","5","1","07"
"1985","12","02","02","01","05","1","000050400","4","1","00","3","1","06"
"1986","12","03","03","02","06","3","000038200","2","1","00","6","2","04"
"1987","12","02","03","02","05","2","000076600","4","2","00","5","0","07"
"1988","12","02","02","01","04","1","000066400","4","1","00","4","1","07"
"1989","12","01","04","02","08","1","","","1","00","3","1","06"
"1990","12","00","02","08","04","","","","","","","","05"
"1991","12","01","03","05","05","1","","","1","00","4","1","05"
"1992","12","02","02","02","03","4","000021600","4","1","00","5","1","01"
"1993","12","03","04","02","06","1","000080000","4","4","00","6","3","06"
"1994","12","01","02","07","03","1","","","3","00","3","1","06"
"1995","12","00","03","02","06","","","","","","","","07"
"1996","12","01","04","02","07","2","","","1","00","7","1","04"
"1997","12","00","02","09","04","","","","","","","","05"
"1998","12","01","03","02","07","1","","","1","00","4","1","06"
"1999","12","01","","","","","","","","","","",""
"2000","12","01","","","","","","","","","","",""
"2001","12","03","03","02","06","2","000153600","4","1","00","5","4","06"
"2002","12","03","03","02","06","2","000125000","2","1","02","4","1","08"
"2003","12","01","03","02","06","2","","","1","00","6","2","06"
"2004","12","02","02","01","06","2","000034400","4","1","00","3","2","06"
"2005","12","01","04","02","09","2","","","1","00","7","1","05"
"2006","12","02","03","02","06","1","000080000","4","1","00","7","2","02"
"2007","12","04","03","02","05","1","000023600","2","2","01","2","1","07"
"2008","12","01","03","02","06","1","","","1","00","4","1","04"
"2009","12","01","00","05","01","3","","","3","00","2","2","05"
"2010","12","01","","","","","","","","","","",""
"2011","12","01","","","","","","","","","","",""
"2012","12","00","02","01","04","","","","","","","","06"
"2013","12","04","01","02","04","3","000083000","3","1","02","1","2","08"
"2014","12","03","03","02","07","1","000137700","4","1","00","6","4","03"
"2015","12","01","01","08","03","3","","","1","00","4","0","06"
"2016","12","00","03","07","05","","","","","","","","08"
"2017","12","03","01","08","03","3","000025800","2","2","01","1","2","04"
"2018","12","03","03","02","05","1","000103800","4","1","00","5","3","06"
"2019","12","01","03","02","07","2","","","1","00","7","2","02"
"2020","12","01","03","01","06","2","","","1","00","7","1","05"
"2021","12","03","03","02","09","2","000081060","4","1","00","7","3","03"
"2022","12","01","03","02","05","1","","","1","00","5","1","07"
"2023","12","00","03","06","06","","","","","","","","08"
"2024","12","01","02","03","05","1","","","1","00","4","1","05"
"2025","12","01","02","07","05","3","","","1","00","1","1","08"
"2026","12","02","03","02","06","2","000075500","4","1","00","5","2","08"
"2027","12","02","02","02","08","2","000133000","4","1","00","3","2","09"
"2028","12","01","03","02","09","1","","","1","00","4","1","08"
"2029","12","01","02","05","04","1","","","1","00","6","1","06"
"2030","12","02","03","01","06","2","","","1","00","5","6","07"
"2031","12","01","03","02","05","2","","","1","00","6","1","01"
"2032","12","08","03","05","07","3","000000000","3","2","05","3","2","05"
"2033","12","04","04","02","07","1","000064500","1","1","02","3","2","09"
"2034","12","00","03","02","05","","","","","","","","05"
"2035","12","02","01","08","05","3","000001200","4","1","00","1","1","07"
"2036","12","01","03","02","05","2","","","1","00","7","2","05"
"2037","12","02","03","05","06","1","000084200","4","1","00","6","1","07"
"2038","12","01","","","","","","","","","","",""
"2039","12","03","04","02","07","1","000080900","1","1","01","4","2","03"
"2040","12","02","02","03","04","3","000080000","2","2","01","3","2","07"
"2041","12","01","","","","","","","","","","",""
"2042","12","02","02","02","03","1","000010000","4","5","00","5","1","07"
"2043","12","03","03","02","05","3","000038000","1","1","01","3","1","05"
"2044","12","01","02","02","04","1","","","1","00","4","1","08"
"2045","12","07","06","02","10","1","000073390","3","2","04","6","4","07"
"2046","12","02","02","02","05","1","000024000","4","1","00","5","2","06"
"2047","12","04","03","02","05","1","000151000","1","1","01","1","3","04"
"2048","12","01","02","01","05","2","","","1","00","4","1","07"
"2049","12","04","04","02","08","1","000164200","2","1","02","3","2","06"
"2050","12","02","02","02","05","2","000051000","4","3","00","4","2","05"
"2051","12","00","02","02","05","","","","","","","","07"
"2052","12","00","02","02","04","","","","","","","","05"
"2053","12","02","03","06","05","2","","","1","00","1","2","08"
"2054","12","00","03","06","05","","","","","","","","06"
"2055","12","02","01","07","03","3","","","2","00","3","2","07"
"2056","12","01","02","02","05","1","","","1","00","1","1","08"
"2057","12","01","01","06","04","3","","","1","00","1","1","06"
"2058","12","04","04","02","05","1","000038100","4","2","00","4","3","09"
"2059","12","02","03","02","06","1","000190200","4","1","00","6","2","04"
"2060","12","01","02","03","07","2","","","1","00","7","1","01"
"2061","12","06","04","02","07","1","000037510","2","4","02","4","3","07"
"2062","12","02","03","02","06","2","000293000","4","1","00","4","2","05"
"2063","12","02","04","02","15","1","000366904","4","1","00","4","2","07"
"2064","12","01","01","07","03","1","","","3","00","1","1","05"
"2065","12","00","02","01","04","","","","","","","","05"
"2066","12","02","02","02","04","4","000110000","4","1","00","2","1","04"
"2067","12","02","03","02","06","1","000098800","4","1","00","6","2","06"
"2068","12","04","04","02","09","1","000131700","4","1","00","4","4","08"
"2069","12","01","02","06","07","3","","","1","00","1","1","06"
"2070","12","02","02","02","06","1","","","1","00","5","0","07"
"2071","12","02","02","02","05","2","000019200","4","1","00","4","1","08"
"2072","12","02","02","02","06","2","000085000","4","2","00","6","2","04"
"2073","12","02","02","08","04","2","000056600","4","1","00","5","1","07"
"2074","12","02","04","02","08","1","000086720","4","1","00","7","1","05"
"2075","12","03","02","03","04","1","000070000","2","2","01","3","2","06"
"2076","12","02","02","02","05","1","000137400","4","1","00","3","2","08"
"2077","12","03","04","02","06","1","000047700","1","1","01","3","1","07"
"2078","12","02","04","02","06","1","000018000","4","1","00","6","2","07"
"2079","12","01","","","","","","","","","","",""
"2080","12","01","03","02","07","2","","","1","00","7","0","03"
"2081","12","03","03","07","06","3","000099000","4","1","00","3","2","08"
"2082","12","02","01","09","04","2","","","1","00","3","2","12"
"2083","12","01","03","06","06","2","","","1","00","1","1","11"
"2084","12","00","02","08","04","","","","","","","","05"
"2085","12","01","01","06","03","3","","","1","00","4","1","06"
"2086","12","01","03","02","05","1","","","1","00","3","1","11"
"2087","12","01","","","","","","","","","","",""
"2088","12","01","01","09","03","3","","","1","00","3","1","06"
"2089","12","01","02","02","04","1","","","1","00","2","1","05"
"2090","12","01","02","06","05","2","","","1","00","4","2","06"
"2091","12","02","03","02","07","2","000063500","4","1","00","2","1","05"
"2092","12","00","02","08","05","","","","","","","","07"
"2093","12","02","03","02","05","1","000092500","4","1","00","2","2","07"
"2094","12","04","04","01","06","1","000072000","2","1","01","4","3","06"
"2095","12","02","02","01","03","3","000009200","4","1","00","3","2","07"
"2096","12","01","01","06","04","3","","","1","00","3","1","06"
"2097","12","00","01","09","03","","","","","","","","08"
"2098","12","00","03","02","05","","","","","","","","04"
"2099","12","02","02","07","06","3","000028580","4","1","00","4","2","06"
"2100","12","04","03","02","06","1","000116000","1","1","00","6","2","05"
"2101","12","04","04","02","08","1","000007500","2","1","02","4","2","07"
"2102","12","01","","","","","","","","","","",""
"2103","12","04","03","02","05","1","000095100","2","1","02","3","1","10"
"2104","12","01","03","02","06","2","","","1","00","5","1","05"
"2105","12","07","04","01","07","1","000042700","2","1","03","4","5","08"
"2106","12","01","02","06","05","2","","","3","00","4","1","08"
"2107","12","04","03","09","05","1","000116400","4","5","00","5","3","05"
"2108","12","03","02","06","04","3","000000320","2","2","01","1","0","06"
"2109","12","01","03","02","06","1","","","1","00","6","1","03"
"2110","12","01","04","02","05","1","","","1","00","3","1","03"
"2111","12","01","02","01","05","3","","","1","00","5","1","07"
"2112","12","02","02","02","07","1","000132800","4","1","00","5","4","02"
"2113","12","01","03","03","05","3","","","1","00","5","1","07"
"2114","12","02","02","02","05","2","000072400","4","1","00","6","2","06"
"2115","12","03","02","07","04","3","000072000","2","1","01","1","2","09"
"2116","12","01","03","03","06","2","","","1","00","5","1","05"
"2117","12","02","03","02","06","2","000088000","4","2","00","5","3","06"
"2118","12","01","04","02","07","2","","","2","00","7","1","04"
"2119","12","04","03","02","05","1","000068300","2","1","02","4","3","05"
"2120","12","04","04","05","06","3","000031600","4","1","00","5","0","06"
"2121","12","00","02","06","04","","","","","","","","07"
"2122","12","01","02","09","04","2","","","1","00","5","1","05"
"2123","12","00","06","02","15","","","","","","","","08"
"2124","12","04","03","01","05","1","000116900","3","1","02","4","6","08"
"2125","12","02","04","02","06","1","000062000","4","1","00","5","2","02"
"2126","12","01","","","","","","","","","","",""
"2127","12","00","06","02","07","","","","","","","","03"
"2128","12","01","02","02","04","1","","","2","00","4","1","05"
"2129","12","01","01","09","03","4","","","1","00","2","1","05"
"2130","12","01","","","","","","","","","","",""
"2131","12","02","02","01","04","1","000013400","4","1","00","4","4","05"
"2132","12","01","","","","","","","","","","",""
"2133","12","02","03","02","06","1","000020000","4","2","00","5","2","08"
"2134","12","03","03","02","06","2","000043440","4","2","00","7","1","02"
"2135","12","02","02","02","05","2","000038900","4","1","00","5","1","07"
"2136","12","02","02","02","04","3","","","1","00","3","2","03"
"2137","12","01","02","03","04","2","","","1","00","4","1","04"
"2138","12","02","03","02","06","1","","","5","00","3","2","12"
"2139","12","01","03","03","05","1","","","1","00","5","1","06"
"2140","12","01","","","","","","","","","","",""
"2141","12","06","03","01","06","3","000003900","3","1","03","1","1","06"
"2142","12","02","02","01","04","1","000028200","4","1","00","4","1","08"
"2143","12","02","03","01","05","3","000038000","4","1","00","3","3","07"
"2144","12","01","02","02","04","2","","","1","00","4","1","06"
"2145","12","03","03","07","06","3","000032300","2","2","01","3","1","08"
"2146","12","02","04","02","07","2","000028030","4","1","00","3","2","05"
"2147","12","00","02","06","04","","","","","","","","06"
"2148","12","01","01","06","02","3","","","1","00","1","1","04"
"2149","12","03","03","02","06","2","000055600","4","1","00","7","2","05"
"2150","12","02","01","08","03","3","000043500","4","1","00","2","1","12"
"2151","12","03","03","02","06","1","000099700","4","1","00","5","2","05"
"2152","12","00","02","03","04","","","","","","","","05"
"2153","12","02","02","09","04","3","000016100","4","1","00","3","1","04"
"2154","12","01","01","09","03","3","","","2","00","3","0","08"
"2155","12","01","03","02","04","1","","","1","00","7","1","05"
"2156","12","02","02","01","06","2","000051904","4","1","00","5","1","05"
"2157","12","01","02","02","05","2","","","1","00","2","0","08"
"2158","12","02","03","02","06","1","000072200","4","3","00","4","2","09"
"2159","12","01","","","","","","","","","","",""
"2160","12","01","","","","","","","","","","",""
"2161","12","00","03","02","05","","","","","","","","06"
"2162","12","02","02","02","06","1","000045100","4","1","00","5","2","05"
"2163","12","02","03","02","08","1","","","2","00","6","2","02"
"2164","12","03","02","07","04","3","000013000","1","3","01","1","3","05"
"2165","12","02","04","01","07","2","000051000","4","1","00","4","2","06"
"2166","12","05","03","01","06","2","000022000","3","1","03","4","1","06"
"2167","12","02","04","02","06","2","000128000","4","1","00","5","2","07"
"2168","12","04","03","02","06","1","000101000","4","1","00","1","4","10"
"2169","12","01","02","02","07","1","","","3","00","1","1","03"
"2170","12","03","03","02","05","2","000000000","2","1","00","7","2","01"
"2171","12","01","03","02","09","1","","","1","00","5","1","02"
"2172","12","03","03","03","04","1","000113000","4","3","00","4","2","09"
"2173","12","03","04","02","07","1","000030000","4","3","00","5","3","03"
"2174","12","01","","","","","","","","","","",""
"2175","12","00","02","01","05","","","","","","","","06"
"2176","12","00","02","01","03","","","","","","","","06"
"2177","12","01","01","07","03","3","","","1","00","3","0","07"
"2178","12","04","02","04","04","3","000003300","1","2","02","1","0","03"
"2179","12","02","03","02","05","1","000053000","4","1","00","5","3","03"
"2180","12","03","02","08","03","1","000009000","2","3","02","1","1","07"
"2181","12","01","02","05","03","3","","","1","00","1","1","09"
"2182","12","01","03","02","06","1","","","1","00","4","2","04"
"2183","12","04","04","02","07","1","000132000","2","1","01","5","3","08"
"2184","12","01","03","02","07","2","","","1","00","7","1","02"
"2185","12","00","02","09","05","","","","","","","","08"
"2186","12","02","03","01","06","1","000034500","4","4","00","4","2","07"
"2187","12","00","02","07","04","","","","","","","","05"
"2188","12","00","02","01","04","","","","","","","","06"
"2189","12","01","02","03","04","3","","","2","00","5","1","06"
"2190","12","03","02","02","06","2","000014000","4","1","00","6","2","03"
"2191","12","03","03","02","08","1","000117300","4","2","00","1","3","01"
"2192","12","02","03","02","05","2","000072600","4","1","00","3","2","05"
"2193","12","03","03","02","10","1","000191000","1","3","01","3","2","07"
"2194","12","01","02","02","05","1","","","1","00","3","2","05"
"2195","12","01","02","07","04","1","","","1","00","3","1","05"
"2196","12","00","02","08","04","","","","","","","","07"
"2197","12","01","00","05","01","3","","","1","00","3","1","06"
"2198","12","00","00","02","01","","","","","","","","05"
"2199","12","00","02","06","04","","","","","","","","06"
"2200","12","01","03","02","09","2","","","1","00","5","1","04"
"2201","12","02","02","08","05","1","000065000","4","2","00","3","2","05"
"2202","12","01","02","06","07","3","","","1","00","2","1","08"
"2203","12","01","02","01","03","2","","","1","00","4","1","07"
"2204","12","02","02","07","03","3","000016300","4","1","00","2","0","07"
"2205","12","02","04","02","07","1","000100000","4","2","00","6","1","06"
"2206","12","02","02","02","05","1","000073000","4","1","00","2","2","05"
"2207","12","01","02","01","05","2","","","1","00","5","1","07"
"2208","12","07","03","03","06","3","000030050","3","2","01","1","1","05"
"2209","12","01","01","04","05","3","","","1","00","4","1","05"
"2210","12","03","02","06","06","1","000062000","1","2","01","3","1","06"
"2211","12","01","02","08","06","1","","","1","00","1","1","06"
"2212","12","03","03","02","05","4","","","2","00","7","2","02"
"2213","12","03","03","02","07","1","000031200","2","1","01","7","2","04"
"2214","12","04","03","02","07","3","000050000","3","2","02","3","2","08"
